"Artemis","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Artemis_","0062","Artemis_0062","","","什么，给我的吗，你是想做个交易吗，我看看我有什么，给！","","",""
"Darren","Artemis_","0064","Artemis_0064","","","我以为你会给我些不一样的东西，不过还是毫无惊喜。我也给你准备了样东西，拿着吧。","","",""
"Integrated","Artemis_","0067","Artemis_0067","","","你藏不住的！","","",""
"Integrated","Artemis_","0068","Artemis_0068","","","循着他们的踪迹！","","",""
"Integrated","Artemis_","0069","Artemis_0069","","","我来处理！","","",""
"Integrated","Artemis_","0073","Artemis_0073","","","怎么样，扎格列欧斯？","","",""
"Integrated","Artemis_","0074","Artemis_0074","","","嗨又见面啦。","","",""
"Integrated","Artemis_","0075","Artemis_0075","","","要跟我一起打猎吗？","","",""
"Integrated","Artemis_","0076","Artemis_0076","","","很高兴看到你还活着。","","",""
"Integrated","Artemis_","0077","Artemis_0077","","","嗨还记得我吗？","","",""
"Integrated","Artemis_","0078","Artemis_0078","","","没问题。","","",""
"Integrated","Artemis_","0079","Artemis_0079","","","了解。","","",""
"Darren","Artemis_","0080","Artemis_0080","","","小意思。","","",""
"Darren","Artemis_","0081","Artemis_0081","","","交给我。","","",""
"Darren","Artemis_","0082","Artemis_0082","","","没什么好拒绝的。","","",""
"Integrated","Artemis_","0083","Artemis_0083","","","谢谢啦！","","",""
"Integrated","Artemis_","0084","Artemis_0084","","","你人不错。","","",""
"Integrated","Artemis_","0085","Artemis_0085","","","我很高兴。","","",""
"Integrated","Artemis_","0086","Artemis_0086","","","谢谢你。","","",""
"Integrated","Artemis_","0087","Artemis_0087","","","保佑你，扎格列欧斯。","","",""
"Integrated","Artemis_","0088","Artemis_0088","","","我不会忘记的。","","",""
"Integrated","Artemis_","0089","Artemis_0089","","","你真好啊。","","",""
"Integrated","Artemis_","0090","Artemis_0090","","","这是给你的。","","",""
"Darren","Artemis_","0091","Artemis_0091","","","这是我的回礼。","","",""
"Darren","Artemis_","0092","Artemis_0092","","","我想给你这个。","","",""
"Darren","Artemis_","0093","Artemis_0093","","","送你的小礼物。","","",""
"Darren","Artemis_","0094","Artemis_0094","","","你获得了我的祝福。","","",""
"Darren","Artemis_","0095","Artemis_0095","","","真可惜啊。","","",""
"Darren","Artemis_","0096","Artemis_0096","","","令人失望。","","",""
"Darren","Artemis_","0097","Artemis_0097","","","太不小心了。","","",""
"Darren","Artemis_","0098","Artemis_0098","","","犯了个错。","","",""
"Darren","Artemis_","0099","Artemis_0099","","","不该那样做。","","",""
"Darren","Artemis_","0100","Artemis_0100","","","糟糕的选择。","","",""
"Integrated","Artemis_","0101","Artemis_0101","","","你竟敢。","","",""
"Darren","Artemis_","0102","Artemis_0102","","","你为什么…！","","",""
"Darren","Artemis_","0103","Artemis_0103","","","你，啊…！","","",""
"Integrated","Artemis_","0104","Artemis_0104","","","你有毛病吧？","","",""
"Integrated","Artemis_","0105","Artemis_0105","","","你干什么？","","",""
"Integrated","Artemis_","0106","Artemis_0106","","","不敢相信。","","",""
"Integrated","Artemis_","0107","Artemis_0107","","","这是在开玩笑吗？","","",""
"Darren","Artemis_","0108","Artemis_0108","","","现在别惹我。","","",""
"Darren","Artemis_","0110","Artemis_0110","","","让我一个人呆会好吗？","","",""
"Darren","Artemis_","0111","Artemis_0111","","","不敢相信…！","","",""
"Darren","Artemis_","0112","Artemis_0112","","","这是真的吗？","","",""
"Integrated","Artemis_","0113","Artemis_0113","","","呃，真的…","","",""
"Darren","Artemis_","0114","Artemis_0114","","","不是我所期望的…","","",""
"Darren","Artemis_","0115","Artemis_0115","","","什么，我…？","","",""
"Darren","Artemis_","0116","Artemis_0116","","","一点不赖。","","",""
"Darren","Artemis_","0117","Artemis_0117","","","做得不错。","","",""
"Darren","Artemis_","0118","Artemis_0118","","","真不错。","","",""
"Darren","Artemis_","0119","Artemis_0119","","","嗯，优秀。","","",""
"Darren","Artemis_","0120","Artemis_0120","","","你明白就好。","","",""
"Integrated","Artemis_","0172","Artemis_0172","","","你选的很正确啊，扎格列欧斯！","","",""
"Integrated","Artemis_","0173","Artemis_0173","","","正中靶心！","","",""
"Integrated","Artemis_","0174","Artemis_0174","","","没啥好选的，我支持！","","",""
"Integrated","Artemis_","0175","Artemis_0175","","","我会说你做了正确的决定！","","",""
"Integrated","Artemis_","0176","Artemis_0176","","","啊哦，有人要不高兴了！","","",""
"Integrated","Artemis_","0177","Artemis_0177","","","很好，这次你没让我抓狂!","","",""
"Integrated","Artemis_","0178","Artemis_0178","","","我盯住他们了!","","",""
"Integrated","Artemis_","0179","Artemis_0179","","","我听见你了，射！","","",""
"Integrated","Artemis_","0180","Artemis_0180","","","他们和死人没两样！","","",""
"Integrated","Artemis_","0181","Artemis_0181","","","好吧，吃我一箭！","","",""
"Integrated","Artemis_","0182","Artemis_0182","","","当然，为什么不呢！","","",""
"Integrated","Artemis_","0183","Artemis_0183","","","哦，那我这就开始吧，接招吧扎格列欧斯！","","",""
"Integrated","Artemis_","0184","Artemis_0184","","","祈祷我意外射偏吧！","","",""
"Integrated","Artemis_","0199","Artemis_0199","","","你可能擅长跑路，扎格列欧斯，但你躲藏的技巧可糟透了。","","",""
"Integrated","Artemis_","0200","Artemis_0200","","","你令我抓狂，我饿虎擒羊，你听见没听见？","","",""
"Integrated","Artemis_","0201","Artemis_0201","","","下次别再惹我了，否则我就一箭射死你，知道了吗？","","",""
