"Athena","ID","ID","ID","","","Line","","","Notes by DK"
"Darren","Athena_","0063","Athena_0063","","","你无须这么奉承我，亲爱的表弟。你不必这样来获得我的庇佑。不过，来吧，收下祝福以外的东西吧，这是我给你的礼物。","","",""
"Darren","Athena_","0064","Athena_0064","","","扎格列欧斯，你又来？！似乎我没法打消你这些毫无必要的客气。不过，起码我可以给你回个礼！","","",""
"Integrated","Athena_","0065","Athena_0065","","","奥林匹斯之怒！","","",""
"Integrated","Athena_","0066","Athena_0066","","","看这神力！","","",""
"Integrated","Athena_","0067","Athena_0067","","","我会保护你的，表弟！","","",""
"Integrated","Athena_","0073","Athena_0073","","","欢迎你，表弟。","","",""
"Integrated","Athena_","0074","Athena_0074","","","我来支援你了。","","",""
"Darren","Athena_","0075","Athena_0075","","","我来了，亲爱的表弟。","","",""
"Darren","Athena_","0076","Athena_0076","","","战斗吧，表弟，我将伴你左右。","","",""
"Integrated","Athena_","0077","Athena_0077","","","让智慧引导你，表弟。","","",""
"Integrated","Athena_","0078","Athena_0078","","","如你所愿。","","",""
"Darren","Athena_","0079","Athena_0079","","","了解。","","",""
"Darren","Athena_","0080","Athena_0080","","","没问题。","","",""
"Darren","Athena_","0081","Athena_0081","","","好的。","","",""
"Darren","Athena_","0082","Athena_0082","","","既然如此。","","",""
"Integrated","Athena_","0083","Athena_0083","","","非常感谢。","","",""
"Integrated","Athena_","0084","Athena_0084","","","谢谢你，表弟。","","",""
"Integrated","Athena_","0085","Athena_0085","","","很贴心，扎格列欧斯。","","",""
"Integrated","Athena_","0086","Athena_0086","","","你太慷慨了。","","",""
"Integrated","Athena_","0087","Athena_0087","","","我的荣幸。","","",""
"Integrated","Athena_","0088","Athena_0088","","","谢谢你，扎格列欧斯。","","",""
"Integrated","Athena_","0089","Athena_0089","","","我祝福你。","","",""
"Darren","Athena_","0090","Athena_0090","","","我想让你收下这个。","","",""
"Darren","Athena_","0091","Athena_0091","","","我有礼物给你，表弟。","","",""
"Darren","Athena_","0092","Athena_0092","","","谨此表示我对你的信任，亲爱的表弟。","","",""
"Darren","Athena_","0093","Athena_0093","","","请收下，表弟。","","",""
"Darren","Athena_","0094","Athena_0094","","","我满怀感激。","","",""
"Darren","Athena_","0095","Athena_0095","","","疏忽大意了。","","",""
"Darren","Athena_","0096","Athena_0096","","","这是不该犯的错误。","","",""
"Darren","Athena_","0097","Athena_0097","","","这会导致不详的结果。","","",""
"Darren","Athena_","0098","Athena_0098","","","这与我期望的有所差距。","","",""
"Darren","Athena_","0099","Athena_0099","","","你判断失误了。","","",""
"Darren","Athena_","0100","Athena_0100","","","我还以为你很清楚。","","",""
"Darren","Athena_","0101","Athena_0101","","","令人不解的选择。","","",""
"Darren","Athena_","0102","Athena_0102","","","为何做出这样的举动？","","",""
"Integrated","Athena_","0103","Athena_0103","","","我表示强烈反对。","","",""
"Integrated","Athena_","0104","Athena_0104","","","你疯了吗，表弟？","","",""
"Integrated","Athena_","0105","Athena_0105","","","你怎么回事？","","",""
"Integrated","Athena_","0106","Athena_0106","","","你不该试探我。","","",""
"Integrated","Athena_","0107","Athena_0107","","","你真的想惹怒我吗？","","",""
"Darren","Athena_","0108","Athena_0108","","","离我远点，表弟。","","",""
"Darren","Athena_","0109","Athena_0109","","","此刻我只要求一点隐私空间。","","",""
"Darren","Athena_","0110","Athena_0110","","","现在没什么智慧好分享的。","","",""
"Darren","Athena_","0111","Athena_0111","","","我简直不敢相信。","","",""
"Darren","Athena_","0112","Athena_0112","","","这怎么可能。","","",""
"Darren","Athena_","0113","Athena_0113","","","为什么会这样？","","",""
"Integrated","Athena_","0114","Athena_0114","","","难以想象…！","","",""
"Darren","Athena_","0115","Athena_0115","","","我无话可说了，表弟。","","",""
"Darren","Athena_","0116","Athena_0116","","","干得漂亮，表弟。","","",""
"Darren","Athena_","0117","Athena_0117","","","非常优秀。","","",""
"Darren","Athena_","0118","Athena_0118","","","相当了不起。","","",""
"Darren","Athena_","0119","Athena_0119","","","佩服得五体投地。","","",""
"Integrated","Athena_","0120","Athena_0120","","","我对你表示赞赏。","","",""
"Darren","Athena_","0127","Athena_0127","","","简直不敢相信。","","",""
"Darren","Athena_","0128","Athena_0128","","","这怎么可能…","","",""
"Darren","Athena_","0129","Athena_0129","","","为什么会这样…？","","",""
"Darren","Athena_","0130","Athena_0130","","","这是什么意思?","","",""
"Darren","Athena_","0131","Athena_0131","","","我无话可说！","","",""
"Darren","Athena_","0132","Athena_0132","","","我高尚的兄弟啊，你要逃离这里。我预见奥林匹斯众神都将助你一臂之力，由我开始。","","",""
"To Be Integrated","Athena_","0127","Athena_0127","","","我简直不敢相信。","","",""
"To Be Integrated","Athena_","0128","Athena_0128","","","这怎么可能……","","",""
"To Be Integrated","Athena_","0129","Athena_0129","","","怎么会这样……？","","",""
"To Be Integrated","Athena_","0130","Athena_0130","","","这是什么意思？","","",""
"To Be Integrated","Athena_","0131","Athena_0131","","","我无话可说！","","",""
"Integrated","Athena_","0186","Athena_0186","","","明智的决定，表兄弟。","","",""
"Integrated","Athena_","0187","Athena_0187","","","这个决定很有战略眼光。","","",""
"Integrated","Athena_","0188","Athena_0188","","","正确的决定，扎格列欧斯。","","",""
"Integrated","Athena_","0189","Athena_0189","","","我就知道你是个靠得住的人。","","",""
"Integrated","Athena_","0190","Athena_0190","","","我猜，你没办法让奥林匹斯山所有人都满意。","","",""
"Integrated","Athena_","0191","Athena_0191","","","非常好，至少对我而言非常好。","","",""
"Integrated","Athena_","0192","Athena_0192","","","或许你下次应该再次与我合作。","","",""
"Integrated","Athena_","0193","Athena_0193","","","你伤害了奥林匹斯之神的尊严，就必须付出代价。","","",""
"Integrated","Athena_","0194","Athena_0194","","","你要知道，这种事情真可以不必发生的，扎格列欧斯。","","",""
"Integrated","Athena_","0195","Athena_0195","","","让我来保护你吧！","","",""
"Integrated","Athena_","0196","Athena_0196","","","暂时没人能伤得到你了，表兄弟！","","",""
"Integrated","Athena_","0197","Athena_0197","","","让他们试试能不能拦得住你吧！","","",""
"Integrated","Athena_","0198","Athena_0198","","","势不可挡！","","",""
"Integrated","Athena_","0199","Athena_0199","","","那我就不帮你了！","","",""
"Integrated","Athena_","0200","Athena_0200","","","你现在想让我帮你了，是吗？！","","",""
"Integrated","Athena_","0201","Athena_0201","","","你是认真的吗，扎格列欧斯？！","","",""
