"ZagreusField","ID","ID","ID","Context","Sentiment/Notes","Reference Line (Comes First)","Line","Notes by GK","Notes by AR","Notes by DK"
"Integrated","ZagreusField_","0002","ZagreusField_0101b","","","","现在在哪儿…","These are alt lines that may not end in number values so that they still get subtitles.","",""
"Integrated","ZagreusField_","0003","Nyx_0067ALT","","","","不要绝望，坚持下去，孩子。跟我说说，女神雅典娜信守承诺，愿意给予你帮助了吗？","","",""
"Integrated","ZagreusField_","0004","ZagreusScratch_0008_ALT","","","","感谢你，我的女神。","","",""
"Integrated","ZagreusField_","0005","ZagreusField_0340b","","","","嗨，哥们。","","",""
"Integrated","ZagreusField_","0006","ZagreusExtra_0002","","","","以哈迪斯之名！","","",""
"Integrated","ZagreusField_","0007","ZagreusExtra_0003","","","","奥林匹斯山！我收到了这条消息！","","",""
"Integrated","ZagreusField_","0008","ZagreusExtra_0004","","","","以哈迪斯之名！","","",""
"Integrated","ZagreusField_","0009","ZagreusExtra_0005","","","","奥林匹斯山！我收到了这条消息！","","",""
"Integrated","ZagreusField_","0010","ZagreusExtra_0006","","","","以哈迪斯之名！","","",""
"Integrated","ZagreusField_","0011","ZagreusExtra_0007","","","","奥林匹斯山！我收到了这条消息！","","",""
"Integrated","ZagreusField_","0012","ZagreusExtra_0008","","","","以哈迪斯之名！","","",""
"Integrated","ZagreusField_","0013","ZagreusExtra_0009","","","","奥林匹斯山！我收到了这条消息！","","",""
"Integrated","ZagreusField_","0014","ZagreusExtra_0010","","","","奥林匹斯！","","",""
"Integrated","ZagreusField_","0016","ZagreusHome_0042a","","","","嘿，房间，我回来了。","","",""
"Integrated","ZagreusField_","0017","ZagreusHome_0042b","","","","嘿，房间，我回来了。","","",""
"Integrated","ZagreusField_","0018","Scratch_0002_A","","","","关于哈迪斯的传说少有人提起，但他的名字总能唤起恐惧和悔恨，让所有人对难以避免的宿命喟然兴叹。","","",""
"Integrated","ZagreusField_","0019","Scratch_0002_B","","","","可是我呢，想讲这个故事。听好了……","","",""
"Integrated","ZagreusField_","0022","ZagreusScratch_0013","","","","而其中有些人的感触更深。","","",""
"Greg","ZagreusField_","0023","","","","","","","",""
"Greg","ZagreusField_","0024","","","","","","","",""
"Greg","ZagreusField_","0025","","","","","","","",""
"Greg","ZagreusField_","0026","","","","","","","",""
"Greg","ZagreusField_","0027","","","","","","","",""
"Greg","ZagreusField_","0028","","","","","","","",""
"Greg","ZagreusField_","0029","","","","","","","",""
"Greg","ZagreusField_","0030","","","","","","","",""
"Greg","ZagreusField_","0031","","","","","","","",""
"Greg","ZagreusField_","0032","","","","","","","",""
"Greg","ZagreusField_","0033","","","","","","","",""
"Greg","ZagreusField_","0034","","","","","","","",""
"Greg","ZagreusField_","0035","","","","","","","",""
"Greg","ZagreusField_","0036","","","","","","","",""
"Greg","ZagreusField_","0037","","","","","","","",""
"Greg","ZagreusField_","0038","","","","","","","",""
"Greg","ZagreusField_","0039","","","","","","","",""
"Greg","ZagreusField_","0040","","","","","","","",""
