"Hypnos","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK","",""
"Integrated","Hypnos_","0017","Hypnos_0017","","","","我起来了！我起来了。","","","","",""
"Integrated","Hypnos_","0018","Hypnos_0018","","","","啊哦……","","","","",""
"Integrated","Hypnos_","0019","Hypnos_0019","","","","你好！","","","","",""
"Integrated","Hypnos_","0020","Hypnos_0020","","","","他来了！","","","","",""
"Integrated","Hypnos_","0021","Hypnos_0021","","","","欢迎！","","","","",""
"Integrated","Hypnos_","0022","Hypnos_0022","","","","欢迎回来！","","","","",""
"Integrated","Hypnos_","0023","Hypnos_0023","","","","快进来吧！","","","","",""
"Darren","Hypnos_","0046","Hypnos_0046","","","","需要我帮忙吗？","","","","",""
"Integrated","Hypnos_","0059","Hypnos_0059","","","","我会试试的！","","","","",""
"Integrated","Hypnos_","0183","Hypnos_0183","","","","没问题！","","","","",""
"Integrated","Hypnos_","0186","Hypnos_0186","","","","再见咯！！","","","","",""
"Integrated","Hypnos_","0189","Hypnos_0189","","","","当然啦！","","","","",""
"Integrated","Hypnos_","0192","Hypnos_0192","","","","我记一下！","","","","",""
"Integrated","Hypnos_","0198","Hypnos_0198","","","","别担心，我不会的！","","","","",""
"Integrated","Hypnos_","0200","Hypnos_0200","","","","啊哦，谢谢你！","","","","",""
"Integrated","Hypnos_","0202","Hypnos_0202","","","","哈，这就对了！","","","","",""
"Integrated","Hypnos_","0204","Hypnos_0204","","","","没问题！","","","","",""
"Integrated","Hypnos_","0211","Hypnos_0211","","","","哦，当然啦！","","","","",""
"Integrated","Hypnos_","0215","Hypnos_0215","","","","哇啊啊啊啊。","","","","",""
"Integrated","Hypnos_","0217","Hypnos_0217","","","","呃，能不能……？","","","","",""
"Integrated","Hypnos_","0219","Hypnos_0219","","","","好嘞！","","","","",""
"Integrated","Hypnos_","0223","Hypnos_0223","","","","","","","","",""
"Integrated","Hypnos_","0224","Hypnos_0224","","","","好的，妈。我是说……母亲！","","","","",""
"Integrated","Hypnos_","0227","Hypnos_0227","","","","好！我会的！","","","","",""
"Integrated","Hypnos_","0229","Hypnos_0229","","","","欢迎来到冥王圣殿！","","","","",""
"Integrated","Hypnos_","0230","Hypnos_0230","","","","欢迎来到冥王圣殿！","","","","",""
"Integrated","Hypnos_","0231","Hypnos_0231","","","","来，在这里千万别拘束！","","","","",""
"Integrated","Hypnos_","0232","Hypnos_0232","","","","你回来啦！","","","","",""
"Integrated","Hypnos_","0233","Hypnos_0233","","","","欢迎来到冥王圣殿？","","","","",""
"Integrated","Hypnos_","0234","Hypnos_0234","","","","欢迎！","","","","",""
"Integrated","Hypnos_","0235","Hypnos_0235","","","","谢谢你来看我！","","","","",""
"Integrated","Hypnos_","0236","Hypnos_0236","","","","谢谢你回到这里！","","","","",""
"Integrated","Hypnos_","0237","Hypnos_0237","","","","嗯，这次怎么样？","","","","",""
"Integrated","Hypnos_","0238","Hypnos_0238","","","","你回来了，嗯？","","","","",""
"Integrated","Hypnos_","0239","Hypnos_0239","","","","嘿呀，朋友！","","","","",""
"Integrated","Hypnos_","0240","Hypnos_0240","","","","嘿，嘿！","","","","",""
"Integrated","Hypnos_","0241","Hypnos_0241","","","","嘿，是你啊！","","","","",""
"Integrated","Hypnos_","0242","Hypnos_0242","","","","你好！","","","","",""
"Integrated","Hypnos_","0243","Hypnos_0243","","","","好呀！","","","","",""
"Integrated","Hypnos_","0244","Hypnos_0244","","","","噢，嗨！","","","","",""
"Integrated","Hypnos_","0245","Hypnos_0245","","","","谢谢你愿意赴死！","","","","",""
"Integrated","Hypnos_","0246","Hypnos_0246","","","","某人恐怕在大发雷霆……","","","","",""
"Integrated","Hypnos_","0247","Hypnos_0247","","","","啊，真糟糕！","","","","",""
"Integrated","Hypnos_","0248","Hypnos_0248","","","","哎哟，抱歉！","","","","",""
"Integrated","Hypnos_","0249","Hypnos_0249","","","","被打得很惨，是吗？","","","","",""
"Integrated","Hypnos_","0250","Hypnos_0250","","","","哎哟……","","","","",""
"Integrated","Hypnos_","0251","Hypnos_0251","","","","嘿，不好意思！","","","","",""
"Integrated","Hypnos_","0252","Hypnos_0252","","","","嘿，你又死了啊？","","","","",""
"Integrated","Hypnos_","0253","Hypnos_0253","","","","啊，很正常啦！","","","","",""
"Integrated","Hypnos_","0254","Hypnos_0254","","","","真是太惨了……","","","","",""
"Integrated","Hypnos_","0255","Hypnos_0255","","","","被消灭了吗……？","","","","",""
"Integrated","Hypnos_","0256","Hypnos_0256","","","","被消灭了啊，嗯。","","","","",""
"Integrated","Hypnos_","0257","Hypnos_0257","","","","你成功了！","","","","",""
"Integrated","Hypnos_","0258","Hypnos_0258","","","","为你欢呼！","","","","",""
"Integrated","Hypnos_","0259","Hypnos_0259","","","","各位，他回来了！","","","","",""
"Integrated","Hypnos_","0260","Hypnos_0260","","","","他回来了！","","","","",""
"Integrated","Hypnos_","0261","Hypnos_0261","","","","嘿——！","","","","",""
"Integrated","Hypnos_","0262","Hypnos_0262","","","","干得漂亮！","","","","",""
"Integrated","Hypnos_","0263","Hypnos_0263","","","","太好了！","","","","",""
"Integrated","Hypnos_","0264","Hypnos_0264","","","","哈，哇哦！","","","","",""
"Integrated","Hypnos_","0266","Hypnos_0266","","","","哦！我、我，嗯，嗨！","","","","",""
"Integrated","Hypnos_","0269","Hypnos_0269","","","","啊！我、呃，你好！","","","","",""
"Integrated","Hypnos_","0270","Hypnos_0270","","","","再见！！","","","","",""
"Integrated","Hypnos_","0271","Hypnos_0271","","","","再见了！","","","","",""
"Integrated","Hypnos_","0272","Hypnos_0272","","","","回见！","","","","",""
"Integrated","Hypnos_","0273","Hypnos_0273","","","","再见了！","","","","",""
"Integrated","Hypnos_","0274","Hypnos_0274","","","","好嘞！","","","","",""
"Integrated","Hypnos_","0275","Hypnos_0275","","","","太好了！！","","","","",""
"Integrated","Hypnos_","0276","Hypnos_0276","","","","没错！","","","","",""
"Integrated","Hypnos_","0277","Hypnos_0277","","","","哈哈，是啊！","","","","",""
"Integrated","Hypnos_","0283","Hypnos_0283","","","","还能有啥？","","","","",""
"Integrated","Hypnos_","0287","Hypnos_0287","","","","呃？","","","","",""
