"Persephone","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Persephone_","0019","Persephone_0019","","","","谁在那儿？","","",""
"Integrated","Persephone_","0020","Persephone_0020","","","","你好，先等我一下。","","",""
"Integrated","Persephone_","0030","Persephone_0030","","","","扎格列欧斯！","","",""
"Integrated","Persephone_","0031","Persephone_0031","","","","扎格列欧斯...","","",""
"Integrated","Persephone_","0032","Persephone_0032","","","","扎格列欧斯？","","",""
"Integrated","Persephone_","0033","Persephone_0033","","","","你回来了！","","",""
"Integrated","Persephone_","0034","Persephone_0034","","","","你回来了...？","","",""
"Integrated","Persephone_","0035","Persephone_0035","","","","啊，你回来了。","","",""
"Integrated","Persephone_","0036","Persephone_0036","","","","我的儿子!","","",""
"Integrated","Persephone_","0037","Persephone_0037","","","","是你吗，扎格列欧斯？","","",""
"Integrated","Persephone_","0038","Persephone_0038","","","","哦，是你！","","",""
"Integrated","Persephone_","0039","Persephone_0039","","","","是你吗？","","",""
"Integrated","Persephone_","0040","Persephone_0040","","","","扎格列欧斯，你回来啦！","","",""
"Integrated","Persephone_","0041","Persephone_0041","","","","欢迎回来，我的儿子。","","",""
"Integrated","Persephone_","0075","Persephone_0075","","","","再见……！","","",""
"Integrated","Persephone_","0094","Persephone_0094","","","","卡戎，先生……这一路上有听说什么事情吗？","","",""
"Integrated","Persephone_","0095","Persephone_0095","","","","哦，我真喜欢这一首。","","",""
"Integrated","Persephone_","0096","Persephone_0096","","","","嗯——嗯！","","",""
"Integrated","Persephone_","0097","Persephone_0097","","","","嗯——嗯！欧律狄刻和俄耳甫斯。","","",""
"Integrated","Persephone_","0098","Persephone_0098","","","","到处都是雪……母亲……","","",""
"Integrated","Persephone_","0099","Persephone_0099","","","","我们来了……！","","",""
"Integrated","Persephone_","0102","Persephone_0102","","","","<惊呼> 刻耳柏洛斯……？","","",""
"Integrated","Persephone_","0114","Persephone_0114","","","","扎格列欧斯？来待一会儿吧，拜托了。","","",""
"Integrated","Persephone_","0139","Persephone_0139","","","","我也会想念你的，儿子。","","",""
"Unused","Persephone_","0141","Persephone_0141","","","","没那么糟糕，儿子。我同意这一点。","","",""
"Integrated","Persephone_","0142","Persephone_0142","","","","扎格列欧斯！","","",""
"Integrated","Persephone_","0143","Persephone_0143","","","","啊，看看是谁来了！","","",""
"Integrated","Persephone_","0144","Persephone_0144","","","","扎格列欧斯，我回来了！","","",""
"Integrated","Persephone_","0145","Persephone_0145","","","","见到你真高兴，儿子。","","",""
"Integrated","Persephone_","0146","Persephone_0146","","","","哇哦，我回来了！","","",""
"Integrated","Persephone_","0147","Persephone_0147","","","","能回来的感觉真好。","","",""
"Integrated","Persephone_","0181","Persephone_0181","","","","我知道，凡人最不喜欢等了！","","",""
"Integrated","Persephone_","0192","Persephone_0192","","","","我得谢谢你！","","",""
"Integrated","Persephone_","0198","Persephone_0198","","","","哦，你真是太客气了！","","",""
"Integrated","Persephone_","0284","Persephone_0284","Fishing Reaction - Caught","","","抓得漂亮！","","",""
"Integrated","Persephone_","0285","Persephone_0285","","","","噢，抓得漂亮！","","",""
"Integrated","Persephone_","0286","Persephone_0286","","","","抓得好。","","",""
"Integrated","Persephone_","0202","Persephone_0202","","","","是啊，我们需要他们。","","",""
"Integrated","Persephone_","0288","Persephone_0288","","","","哦哦，快看啊！","","",""
"Integrated","Persephone_","0289","Persephone_0289","","","","你把它也抓到了！","","",""
"Integrated","Persephone_","0290","Persephone_0290","Fishing Reaction - Missed","","","啊，好遗憾。","","",""
"Integrated","Persephone_","0291","Persephone_0291","","","","下次吧，我的儿子。","","",""
"Integrated","Persephone_","0292","Persephone_0292","","","","啊，好吧。","","",""
"Integrated","Persephone_","0293","Persephone_0293","","","","哎呀， 就差一点！","","",""
"Integrated","Persephone_","0294","Persephone_0294","","","","没办法把它们全弄到手。","","",""
"Integrated","Persephone_","0295","Persephone_0295","","","","不应该这样才对。","","",""
"Integrated","Persephone_","0296","Persephone_0296","Shorter Quips / Emotes -- Greetings","","","啊，你来了。","","",""
"Integrated","Persephone_","0241","Persephone_0241","","","","确实如此，我的儿子。","","",""
"Integrated","Persephone_","0253","Persephone_0253","","","","哈哈哈，没有，你已经做得够好了。","","",""
"Integrated","Persephone_","0255","Persephone_0255","","","","我们有能力，也做得到。","","",""
"Integrated","Persephone_","0266","Persephone_0266","","","","是啊。","","",""
"Integrated","Persephone_","0284","Persephone_0284","","","","抓得好！","","",""
"Integrated","Persephone_","0285","Persephone_0285","","","","噢，抓得好！","","",""
"Integrated","Persephone_","0286","Persephone_0286","","","","抓得好。","","",""
"Integrated","Persephone_","0287","Persephone_0287","","","","干得漂亮！","","",""
"Integrated","Persephone_","0288","Persephone_0288","","","","哦哦，快看啊！","","",""
"Integrated","Persephone_","0289","Persephone_0289","","","","你把它也抓到了！","","",""
"Integrated","Persephone_","0290","Persephone_0290","","","","真可惜啊。","","",""
"Integrated","Persephone_","0291","Persephone_0291","","","","下次吧，我的儿子。","","",""
"Integrated","Persephone_","0292","Persephone_0292","","","","啊，好吧。","","",""
"Integrated","Persephone_","0293","Persephone_0293","","","","哎呀， 就差一点！","","",""
"Integrated","Persephone_","0294","Persephone_0294","","","","没办法把它们全弄到手。","","",""
"Integrated","Persephone_","0295","Persephone_0295","","","","不应该这样。","","",""
"Integrated","Persephone_","0296","Persephone_0296","","","","啊，你来了。","","",""
"Integrated","Persephone_","0297","Persephone_0297","","","","欢迎，我的儿子。","","",""
"Integrated","Persephone_","0298","Persephone_0298","","","","欢迎回来。","","",""
"Integrated","Persephone_","0299","Persephone_0299","","","","你好，我的儿子。","","",""
"Integrated","Persephone_","0300","Persephone_0300","","","","扎格列欧斯。","","",""
"Integrated","Persephone_","0301","Persephone_0301","","","","你好。","","",""
"Darren","Persephone_","0302","Persephone_0302","","","","不错。","","",""
"Darren","Persephone_","0303","Persephone_0303","","","","没问题。","","",""
"Darren","Persephone_","0304","Persephone_0304","","","","那就这样吧！","","",""
"Darren","Persephone_","0305","Persephone_0305","","","","是啊，没错。","","",""
"Darren","Persephone_","0306","Persephone_0306","","","","听起来不错。","","",""
"Darren","Persephone_","0307","Persephone_0307","","","","我很感激。","","",""
"Darren","Persephone_","0308","Persephone_0308","","","","太谢谢你了。","","",""
"Darren","Persephone_","0309","Persephone_0309","","","","你真是太体贴了。","","",""
"Darren","Persephone_","0310","Persephone_0310","","","","哦，你真是太客气了。","","",""
"Darren","Persephone_","0311","Persephone_0311","","","","哎呀，谢谢！","","",""
"Integrated","Persephone_","0312","Persephone_0312","","","","我真的很感激。","","",""
"Darren","Persephone_","0313","Persephone_0313","","","","愿意效劳。","","",""
"Darren","Persephone_","0314","Persephone_0314","","","","这是给你的。","","",""
"Darren","Persephone_","0315","Persephone_0315","","","","哦，那真可惜。","","",""
"Darren","Persephone_","0316","Persephone_0316","","","","真是有点不走运啊。","","",""
"Darren","Persephone_","0317","Persephone_0317","","","","嗯嗯，我知道了……","","",""
"Darren","Persephone_","0318","Persephone_0318","","","","嗯，该做的事情。","","",""
"Integrated","Persephone_","0319","Persephone_0319","","","","做得好， 扎格列欧斯。","","",""
"Integrated","Persephone_","0320","Persephone_0320","","","","干得漂亮，儿子。","","",""
"Integrated","Persephone_","0321","Persephone_0321","","","","我就知道你做得到。","","",""
"Darren","Persephone_","0322","Persephone_0322","","","","你可真可靠。","","",""
"Darren","Persephone_","0323","Persephone_0323","","","","哦哦，快看啊！","","",""
"Darren","Persephone_","0324","Persephone_0324","","","","哦，这真是太棒了！","","",""
"Darren","Persephone_","0325","Persephone_0325","","","","啊，我太喜欢了！","","",""
"Darren","Persephone_","0326","Persephone_0326","","","","就是我想要的！","","",""
"Integrated","Persephone_","0327","Persephone_0327","","","","好啊，当然！","","",""
"Greg","Persephone_","0329","Persephone_0329","","","","是啊，没错。","","",""
"Integrated","Persephone_","0329","Persephone_0329","","","","是啊，没错。","","",""
"Integrated","Persephone_","0337","Persephone_0337","","","","听起来不错，我会去见你的。","","",""
